 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Nov/2023
"Município";"AIH_aprovadas"
"241240 SAO JOSE DO SERIDO";7
"241250 SAO MIGUEL";6
"241260 SAO PAULO DO POTENGI";59
"241280 SAO RAFAEL";6
"241300 SAO VICENTE";4
"241330 SERRA DE SAO BENTO";6
"241335 SERRA DO MEL";3
"241340 SERRA NEGRA DO NORTE";5
"241355 SERRINHA DOS PINTOS";6
"241360 SEVERIANO MELO";5
"241380 TABOLEIRO GRANDE";2
"241400 TANGARA";5
"241410 TENENTE ANANIAS";166
"241420 TIBAU DO SUL";7
"241440 TOUROS";25
"241460 UPANEMA";14
"241475 VENHA-VER";2
"250010 AGUA BRANCA";6
"250030 ALAGOA GRANDE";14
"250040 ALAGOA NOVA";50
"250070 SAO JOAO DO RIO DO PEIXE";24
"250110 AREIA";16
"250130 AROEIRAS";28
"250150 BANANEIRAS";8
"250180 BAYEUX";80
"250190 BELEM";67
"250200 BELEM DO BREJO DO CRUZ";2
"250230 BOM SUCESSO";2
"250240 BONITO DE SANTA FE";12
"250250 BOQUEIRAO";32
"250280 BREJO DO CRUZ";10
"250300 CAAPORA";14
"250320 CABEDELO";105
"250350 CACIMBA DE DENTRO";1
"250370 CAJAZEIRAS";624
"250400 CAMPINA GRANDE";4750
"250430 CATOLE DO ROCHA";229
"250440 CONCEICAO";54
"250480 COREMAS";39
"250510 CUITE";48
"250600 ESPERANCA";15
"250630 GUARABIRA";448
"250690 ITABAIANA";219
"250700 ITAPORANGA";241
"250710 ITAPOROROCA";10
"250740 JERICO";6
"250750 JOAO PESSOA";6810
"250770 JUAZEIRINHO";7
"250800 JURU";13
"250830 LAGOA SECA";21
"250890 MAMANGUAPE";526
"250920 MASSARANDUBA";1
"250970 MONTEIRO";238
"251080 PATOS";1186
"251090 PAULISTA";20
"251110 PEDRA LAVRADA";28
"251120 PEDRAS DE FOGO";33
"251130 PIANCO";124
"251140 PICUI";258
"251200 POCINHOS";3
"251210 POMBAL";263
"251230 PRINCESA ISABEL";64
"251250 QUEIMADAS";232
"251340 SANTA LUZIA";36
"251370 SANTA RITA";832
"251390 SAO BENTO";124
"251450 SAO JOSE DE PIRANHAS";30
"251490 SAO MAMEDE";9
"251530 SAPE";57
"251540 SAO VICENTE DO SERIDO";6
"251550 SERRA BRANCA";44
"251600 SOLANEA";89
"251610 SOLEDADE";18
"251620 SOUSA";348
"251630 SUME";87
"251650 TAPEROA";109
"251660 TAVARES";88
"251690 UIRAUNA";140
"260010 AFOGADOS DA INGAZEIRA";717
"260020 AFRANIO";67
"260030 AGRESTINA";82
"260040 AGUA PRETA";22
"260050 AGUAS BELAS";26
"260060 ALAGOINHA";21
"260070 ALIANCA";34
"260080 ALTINHO";5
"260090 AMARAJI";10
