 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Mar/2018
"Município";"AIH_aprovadas"
"260130 BARRA DE GUABIRABA";7
"260140 BARREIROS";93
"260150 BELEM DE MARIA";3
"260160 BELEM DE SAO FRANCISCO";46
"260170 BELO JARDIM";150
"260180 BETANIA";13
"260190 BEZERROS";274
"260200 BODOCO";13
"260210 BOM CONSELHO";72
"260220 BOM JARDIM";10
"260230 BONITO";28
"260240 BREJAO";8
"260250 BREJINHO";4
"260260 BREJO DA MADRE DE DEUS";11
"260280 BUIQUE";215
"260290 CABO DE SANTO AGOSTINHO";1120
"260300 CABROBO";28
"260310 CACHOEIRINHA";9
"260320 CAETES";31
"260330 CALCADO";3
"260345 CAMARAGIBE";82
"260350 CAMOCIM DE SAO FELIX";9
"260360 CAMUTANGA";2
"260370 CANHOTINHO";28
"260380 CAPOEIRAS";18
"260390 CARNAIBA";40
"260392 CARNAUBEIRA DA PENHA";21
"260400 CARPINA";51
"260410 CARUARU";2818
"260415 CASINHAS";6
"260420 CATENDE";6
